-155.277409391	19.4052045476
-155.277733546	19.4056212844
-155.27798115	19.4059405689
-155.278128007	19.406288752
-155.278399802	19.4065565157
-155.278752515	19.4066073666
-155.279046248	19.4065600881
-155.27919558	19.4064036869
-155.279472496	19.4059678315
-155.279715905	19.4053543076
-155.279809667	19.4048243511
-155.279554121	19.4043828541
-155.279165579	19.4039734341
-155.278824219	19.4035913434
-155.278381162	19.4034152835
-155.277933325	19.4035116655
-155.277496685	19.4038556787
-155.277219024	19.4041767508
-155.277075987	19.4045938109
-155.277159275	19.4049073112
-155.277409391	19.4052045476
